round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,model_bytes,client_0_train_loss,client_0_num_samples,client_0_download_ms,client_0_train_ms,client_1_train_loss,client_1_num_samples,client_1_download_ms,client_1_train_ms
1,2,ok,0.1295,3.036496,0.0,0.0,0.0,0.02,0.158,0.0,0.994,0.0,0.123,0.0,24.58,15366.12,30.16,44774014,1.076966,25000,244.53,35395.78,1.141645,25000,350.68,29304.15
2,2,ok,0.754,0.701077,0.778,0.827,0.709,0.678,0.842,0.411,0.886,0.662,0.907,0.84,23.47,15360.75,37.95,44774014,0.704013,25000,490.35,36548.35,0.720304,25000,374.33,29338.4
3,2,ok,0.8059,0.598274,0.804,0.894,0.614,0.505,0.893,0.812,0.934,0.817,0.901,0.885,23.72,15286.44,37.94,44774014,0.470421,25000,391.08,36684.0,0.468739,25000,454.81,29609.68
4,2,ok,0.8262,0.562504,0.779,0.929,0.734,0.626,0.778,0.754,0.926,0.88,0.956,0.9,19.74,15315.63,37.57,44774014,0.311432,25000,310.08,36379.91,0.318079,25000,469.19,29388.04
5,2,ok,0.8426,0.546429,0.902,0.89,0.78,0.652,0.796,0.798,0.873,0.913,0.903,0.919,19.83,15296.05,37.59,44774014,0.201607,25000,399.89,36338.75,0.211696,25000,394.83,29630.34
6,2,ok,0.8377,0.628519,0.867,0.954,0.752,0.54,0.801,0.871,0.929,0.908,0.895,0.86,19.76,15375.94,37.91,44774014,0.145997,25000,445.7,36612.45,0.13476,25000,367.32,29914.03
7,2,ok,0.8394,0.638346,0.86,0.879,0.733,0.716,0.812,0.796,0.895,0.815,0.937,0.951,16.86,15372.38,37.85,44774014,0.09485,25000,363.56,36598.32,0.097148,25000,377.51,29762.81
8,2,ok,0.8397,0.67421,0.852,0.954,0.778,0.725,0.849,0.684,0.912,0.857,0.923,0.863,18.98,15316.5,37.89,44774014,0.086745,25000,436.8,36586.71,0.085905,25000,366.47,30115.73
9,2,ok,0.8471,0.664099,0.862,0.957,0.752,0.68,0.808,0.808,0.878,0.901,0.93,0.895,15.44,15407.09,37.9,44774014,0.06002,25000,378.52,36595.84,0.03822,25000,358.1,30048.08
