round_id,accuracy,round_wallclock_sec,cumulative_sec
1,0.6012,7.492,8.642
2,0.735,7.282,17.065
3,0.7556,7.305,25.499
4,0.7867,7.309,33.965
5,0.7864,7.043,42.139
6,0.7953,7.041,50.326
7,0.8036,7.022,58.495
8,0.8061,7.089,66.61
9,0.8131,6.593,74.217
10,0.8118,6.586,81.838
11,0.8117,6.551,89.404
12,0.8215,6.851,97.425
13,0.8164,7.435,106.039
14,0.8108,7.541,114.741
15,0.8145,7.533,123.389
16,0.8148,7.26,131.725
17,0.82,7.217,140.02
18,0.8188,7.271,148.373
19,0.8246,7.225,156.748
20,0.8196,7.387,165.266
21,0.8158,7.363,173.762
22,0.8133,7.425,182.337
23,0.8189,6.708,190.066
24,0.8146,6.452,197.531
25,0.8215,6.455,204.996
26,0.8206,6.452,212.462
27,0.8195,7.107,220.655
28,0.8169,7.277,228.982
29,0.8164,7.264,237.312
30,0.817,7.247,245.547
