round_id,train_loss,test_loss,accuracy,epoch_time_sec,cumulative_time_sec,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
1,1.319091,1.092694,0.6178,7.759,7.759,0.608,0.893,0.495,0.28,0.549,0.24,0.847,0.684,0.868,0.714
2,0.939255,0.850296,0.7012,8.233,15.991,0.811,0.905,0.529,0.539,0.717,0.652,0.699,0.78,0.706,0.674
3,0.766613,0.778447,0.7339,8.198,24.19,0.75,0.795,0.565,0.482,0.682,0.784,0.911,0.687,0.831,0.852
4,0.652628,0.682783,0.7697,8.271,32.461,0.779,0.844,0.604,0.47,0.809,0.675,0.892,0.841,0.884,0.899
5,0.579579,0.640851,0.78,8.314,40.775,0.777,0.875,0.701,0.591,0.838,0.558,0.893,0.851,0.853,0.863
6,0.511793,0.633021,0.7884,8.357,49.132,0.837,0.875,0.639,0.681,0.742,0.669,0.901,0.774,0.893,0.873
7,0.461347,0.622509,0.7918,8.331,57.463,0.887,0.911,0.728,0.622,0.803,0.619,0.809,0.877,0.855,0.807
8,0.412427,0.627837,0.794,8.295,65.758,0.8,0.935,0.684,0.64,0.764,0.733,0.844,0.781,0.916,0.843
9,0.372868,0.645218,0.7897,8.317,74.075,0.798,0.837,0.613,0.629,0.834,0.743,0.837,0.824,0.868,0.914
10,0.335839,0.645156,0.7938,8.38,82.455,0.864,0.879,0.642,0.601,0.819,0.689,0.842,0.802,0.907,0.893
11,0.312017,0.615943,0.7996,8.562,91.017,0.822,0.867,0.682,0.652,0.79,0.689,0.883,0.832,0.876,0.903
12,0.274352,0.66311,0.7939,8.359,99.376,0.863,0.886,0.753,0.504,0.735,0.709,0.887,0.852,0.876,0.874
13,0.254281,0.697282,0.7911,8.308,107.683,0.832,0.889,0.731,0.714,0.771,0.63,0.802,0.873,0.905,0.764
14,0.231821,0.686321,0.8012,8.305,115.988,0.834,0.877,0.764,0.623,0.809,0.684,0.817,0.816,0.926,0.862
15,0.206808,0.676789,0.8028,8.334,124.322,0.785,0.895,0.704,0.624,0.832,0.673,0.886,0.829,0.934,0.866
16,0.196609,0.698429,0.8043,8.364,132.687,0.829,0.839,0.772,0.557,0.812,0.718,0.872,0.855,0.884,0.905
17,0.178476,0.696715,0.8017,8.343,141.03,0.857,0.914,0.696,0.574,0.785,0.736,0.916,0.801,0.859,0.879
18,0.167778,0.724149,0.8048,8.302,149.332,0.852,0.901,0.75,0.671,0.779,0.715,0.833,0.792,0.904,0.851
19,0.157079,0.777479,0.8035,8.259,157.591,0.829,0.862,0.696,0.695,0.834,0.619,0.856,0.846,0.89,0.908
20,0.151206,0.777735,0.8004,8.297,165.888,0.821,0.91,0.69,0.657,0.775,0.717,0.841,0.837,0.881,0.875
21,0.133257,0.790799,0.8024,8.272,174.159,0.866,0.925,0.738,0.665,0.775,0.662,0.855,0.885,0.847,0.806
22,0.127766,0.755281,0.8106,8.306,182.465,0.836,0.899,0.746,0.689,0.784,0.678,0.861,0.85,0.901,0.862
23,0.121019,0.825471,0.8003,8.377,190.842,0.842,0.904,0.675,0.669,0.69,0.753,0.878,0.815,0.91,0.867
24,0.10654,0.799236,0.8044,8.312,199.155,0.811,0.862,0.728,0.671,0.782,0.738,0.823,0.876,0.869,0.884
25,0.113055,0.79203,0.8053,8.336,207.49,0.846,0.883,0.736,0.627,0.748,0.771,0.834,0.854,0.869,0.885
26,0.098671,0.837131,0.8048,8.384,215.874,0.837,0.877,0.648,0.664,0.772,0.699,0.902,0.856,0.881,0.912
27,0.09828,0.82731,0.8054,8.45,224.324,0.854,0.922,0.737,0.559,0.813,0.766,0.888,0.822,0.852,0.841
28,0.093093,0.825255,0.8117,8.527,232.851,0.837,0.867,0.716,0.639,0.792,0.723,0.868,0.862,0.9,0.913
29,0.086972,0.859437,0.808,8.357,241.208,0.786,0.928,0.729,0.674,0.762,0.701,0.874,0.893,0.89,0.843
30,0.08706,0.914147,0.8026,8.353,249.561,0.833,0.879,0.714,0.622,0.832,0.65,0.894,0.805,0.912,0.885
