round_id,train_loss,test_loss,accuracy,epoch_time_sec,cumulative_time_sec,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
1,1.32959,1.122163,0.6098,7.647,7.647,0.694,0.589,0.446,0.202,0.466,0.455,0.814,0.712,0.871,0.849
2,0.951006,0.875429,0.699,7.943,15.59,0.776,0.929,0.604,0.605,0.509,0.637,0.736,0.659,0.808,0.727
3,0.779682,0.756886,0.7413,7.412,23.002,0.823,0.791,0.627,0.607,0.796,0.588,0.675,0.762,0.91,0.834
4,0.669528,0.676583,0.7669,7.38,30.382,0.835,0.845,0.667,0.541,0.74,0.652,0.858,0.811,0.84,0.88
5,0.595176,0.644499,0.7805,7.414,37.796,0.827,0.896,0.698,0.59,0.798,0.703,0.787,0.81,0.831,0.865
6,0.531172,0.684685,0.7669,7.812,45.608,0.815,0.852,0.666,0.458,0.79,0.807,0.859,0.776,0.812,0.834
7,0.47335,0.636714,0.7857,7.772,53.38,0.849,0.904,0.737,0.552,0.802,0.719,0.846,0.796,0.876,0.776
8,0.430998,0.653511,0.7854,7.863,61.243,0.802,0.874,0.815,0.62,0.709,0.635,0.826,0.88,0.878,0.815
9,0.39267,0.625787,0.795,7.955,69.197,0.88,0.888,0.685,0.698,0.734,0.716,0.8,0.844,0.838,0.867
10,0.3542,0.692487,0.789,8.024,77.222,0.839,0.87,0.724,0.623,0.794,0.614,0.886,0.788,0.934,0.818
11,0.324961,0.667408,0.794,8.072,85.294,0.784,0.94,0.799,0.582,0.763,0.691,0.834,0.845,0.884,0.818
12,0.297649,0.629227,0.8053,8.12,93.414,0.846,0.886,0.694,0.632,0.814,0.745,0.856,0.825,0.915,0.84
13,0.267244,0.690981,0.7894,7.997,101.411,0.855,0.937,0.737,0.613,0.759,0.711,0.871,0.798,0.859,0.754
14,0.251935,0.719337,0.794,7.999,109.41,0.756,0.836,0.637,0.646,0.809,0.738,0.882,0.818,0.925,0.893
15,0.232158,0.714039,0.791,7.964,117.374,0.865,0.867,0.717,0.549,0.711,0.766,0.797,0.899,0.883,0.856
16,0.215327,0.725235,0.7983,7.479,124.853,0.873,0.901,0.716,0.625,0.845,0.654,0.825,0.849,0.864,0.831
17,0.197017,0.72625,0.7951,7.417,132.271,0.863,0.929,0.737,0.557,0.781,0.716,0.857,0.835,0.883,0.793
18,0.180948,0.765817,0.7972,7.434,139.705,0.784,0.872,0.696,0.665,0.839,0.627,0.892,0.818,0.932,0.847
19,0.172189,0.756115,0.7994,7.506,147.211,0.834,0.89,0.733,0.725,0.742,0.632,0.844,0.823,0.902,0.869
20,0.157983,0.762373,0.8018,7.934,155.145,0.832,0.882,0.703,0.599,0.824,0.739,0.881,0.796,0.882,0.88
21,0.156827,0.765081,0.8045,7.936,163.081,0.834,0.89,0.715,0.701,0.764,0.738,0.838,0.812,0.876,0.877
22,0.139514,0.789924,0.8027,7.933,171.015,0.828,0.891,0.72,0.65,0.794,0.674,0.808,0.859,0.905,0.898
23,0.125931,0.814174,0.808,8.107,179.122,0.849,0.902,0.735,0.622,0.874,0.717,0.855,0.816,0.859,0.851
24,0.125101,0.785733,0.8098,8.068,187.19,0.838,0.886,0.762,0.667,0.781,0.715,0.844,0.846,0.9,0.859
25,0.117697,0.795941,0.8036,8.106,195.296,0.806,0.905,0.737,0.615,0.735,0.705,0.87,0.86,0.91,0.893
26,0.107725,0.844821,0.8065,8.04,203.336,0.881,0.848,0.699,0.636,0.816,0.733,0.821,0.821,0.902,0.908
27,0.105094,0.832281,0.8061,8.048,211.384,0.865,0.906,0.677,0.662,0.788,0.735,0.855,0.829,0.899,0.845
28,0.102844,0.851913,0.8092,8.008,219.392,0.827,0.87,0.7,0.688,0.774,0.718,0.856,0.839,0.931,0.889
29,0.098112,0.883394,0.8078,7.849,227.241,0.867,0.924,0.68,0.602,0.82,0.748,0.861,0.851,0.867,0.858
30,0.093548,0.877038,0.8071,7.474,234.715,0.837,0.893,0.704,0.585,0.827,0.724,0.905,0.826,0.905,0.865
31,0.085767,0.894103,0.8076,7.421,242.136,0.826,0.936,0.742,0.681,0.801,0.656,0.879,0.796,0.902,0.857
32,0.087163,0.857716,0.8086,7.485,249.621,0.819,0.875,0.69,0.606,0.819,0.719,0.895,0.837,0.908,0.918
33,0.085436,0.859177,0.8086,7.852,257.473,0.855,0.911,0.715,0.66,0.759,0.756,0.839,0.849,0.893,0.849
34,0.086519,0.877461,0.8104,8.02,265.493,0.842,0.882,0.71,0.691,0.81,0.692,0.885,0.829,0.917,0.846
35,0.078439,0.882415,0.8093,8.069,273.562,0.824,0.911,0.694,0.646,0.8,0.766,0.848,0.841,0.891,0.872
36,0.070451,0.975608,0.8094,7.934,281.495,0.854,0.834,0.732,0.672,0.754,0.723,0.876,0.851,0.889,0.909
37,0.069216,0.928799,0.8131,7.797,289.292,0.809,0.895,0.686,0.663,0.803,0.737,0.877,0.838,0.917,0.906
38,0.068939,0.945927,0.8138,8.227,297.519,0.822,0.917,0.731,0.59,0.837,0.759,0.885,0.836,0.875,0.886
39,0.068682,0.908914,0.8084,8.176,305.696,0.852,0.903,0.701,0.594,0.78,0.784,0.849,0.866,0.875,0.88
40,0.063829,0.929989,0.815,7.979,313.675,0.818,0.91,0.736,0.671,0.783,0.734,0.857,0.853,0.889,0.899
41,0.05886,0.940947,0.8127,8.0,321.675,0.858,0.935,0.714,0.644,0.781,0.724,0.87,0.86,0.913,0.828
42,0.063695,0.931828,0.8146,7.933,329.608,0.855,0.894,0.689,0.656,0.826,0.703,0.881,0.841,0.897,0.904
43,0.064135,0.962656,0.8124,7.487,337.095,0.823,0.914,0.722,0.652,0.771,0.693,0.892,0.859,0.889,0.909
44,0.059101,0.971337,0.8109,7.491,344.586,0.857,0.943,0.707,0.6,0.808,0.735,0.853,0.85,0.876,0.88
45,0.057602,0.975723,0.812,7.433,352.019,0.87,0.867,0.721,0.649,0.779,0.73,0.88,0.853,0.872,0.899
46,0.058239,0.982434,0.8061,7.61,359.629,0.875,0.907,0.667,0.594,0.806,0.758,0.87,0.844,0.844,0.896
47,0.053142,0.931214,0.8126,8.183,367.812,0.826,0.879,0.754,0.672,0.787,0.742,0.836,0.815,0.909,0.906
48,0.049819,0.95154,0.8178,8.123,375.934,0.855,0.886,0.732,0.669,0.821,0.695,0.863,0.863,0.902,0.892
49,0.052917,0.987519,0.8098,8.194,384.128,0.865,0.873,0.683,0.683,0.804,0.71,0.857,0.859,0.868,0.896
50,0.049451,1.03592,0.8121,8.036,392.164,0.906,0.929,0.708,0.584,0.778,0.779,0.842,0.856,0.879,0.86
51,0.048301,1.017416,0.8124,8.004,400.167,0.868,0.901,0.681,0.624,0.76,0.74,0.891,0.856,0.906,0.897
52,0.049342,0.97798,0.8106,8.086,408.253,0.835,0.918,0.707,0.628,0.802,0.747,0.876,0.817,0.916,0.86
53,0.045534,0.972987,0.8142,8.132,416.385,0.866,0.911,0.734,0.69,0.8,0.735,0.845,0.815,0.889,0.857
54,0.044542,0.998562,0.8089,8.147,424.533,0.819,0.903,0.739,0.617,0.78,0.784,0.85,0.844,0.896,0.857
55,0.04185,1.028358,0.8113,8.13,432.662,0.858,0.901,0.69,0.594,0.826,0.723,0.9,0.817,0.905,0.899
56,0.046209,0.98924,0.8126,7.807,440.469,0.855,0.906,0.733,0.636,0.826,0.756,0.872,0.784,0.875,0.883
57,0.043735,0.991255,0.8126,7.489,447.958,0.864,0.894,0.723,0.662,0.815,0.72,0.878,0.818,0.904,0.848
58,0.042255,0.988341,0.8169,7.521,455.479,0.834,0.915,0.694,0.661,0.817,0.742,0.872,0.841,0.907,0.886
59,0.038934,1.003235,0.8167,7.506,462.985,0.824,0.888,0.699,0.663,0.832,0.725,0.868,0.842,0.919,0.907
60,0.04114,1.025543,0.8154,8.01,470.996,0.862,0.896,0.718,0.67,0.8,0.717,0.861,0.851,0.897,0.882
