round_id,train_loss,test_loss,accuracy,epoch_time_sec,cumulative_time_sec,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
48,0.049246,0.923863,0.813,8.173,388.944,0.818,0.907,0.7,0.707,0.772,0.696,0.873,0.859,0.905,0.893
49,0.051016,0.932771,0.8138,7.971,396.915,0.872,0.917,0.68,0.675,0.826,0.716,0.854,0.863,0.869,0.866
50,0.045811,0.986478,0.8117,7.621,404.536,0.851,0.901,0.754,0.592,0.783,0.752,0.868,0.846,0.851,0.919
51,0.046258,0.96966,0.8097,7.626,412.162,0.865,0.915,0.703,0.674,0.771,0.731,0.862,0.822,0.877,0.877
52,0.043543,0.987028,0.8135,7.577,419.739,0.868,0.884,0.681,0.664,0.79,0.693,0.862,0.891,0.885,0.917
53,0.044486,0.970192,0.8099,8.092,427.831,0.85,0.896,0.724,0.675,0.76,0.742,0.849,0.834,0.877,0.892
54,0.039431,0.974005,0.8123,8.25,436.081,0.843,0.928,0.726,0.639,0.798,0.685,0.885,0.859,0.907,0.853
55,0.040016,1.01301,0.8077,8.29,444.371,0.881,0.927,0.689,0.651,0.757,0.765,0.88,0.821,0.881,0.825
56,0.041411,1.026412,0.8082,8.17,452.542,0.818,0.916,0.687,0.606,0.794,0.81,0.856,0.859,0.878,0.858
57,0.042252,1.005457,0.8101,8.249,460.791,0.858,0.909,0.697,0.685,0.812,0.661,0.885,0.808,0.898,0.888
58,0.040581,0.992691,0.8121,8.139,468.93,0.839,0.93,0.738,0.66,0.789,0.687,0.892,0.854,0.888,0.844
59,0.042312,1.002521,0.8091,8.076,477.006,0.865,0.937,0.696,0.658,0.774,0.723,0.857,0.844,0.872,0.865
60,0.043096,1.00158,0.806,8.287,485.293,0.844,0.901,0.712,0.645,0.763,0.738,0.865,0.866,0.87,0.856
