round_id,train_loss,test_loss,accuracy,epoch_time_sec,cumulative_time_sec,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
16,0.192289,0.698532,0.8018,8.01,125.223,0.767,0.886,0.697,0.658,0.797,0.754,0.854,0.84,0.901,0.864
17,0.173493,0.703931,0.8031,8.069,133.292,0.886,0.897,0.681,0.621,0.749,0.753,0.886,0.84,0.846,0.872
18,0.163777,0.738759,0.8074,8.052,141.344,0.837,0.923,0.631,0.654,0.811,0.741,0.885,0.828,0.899,0.865
19,0.153422,0.742105,0.8052,8.085,149.429,0.856,0.894,0.701,0.68,0.844,0.706,0.83,0.768,0.88,0.893
20,0.142135,0.740969,0.8079,7.959,157.388,0.83,0.882,0.677,0.61,0.811,0.755,0.893,0.851,0.884,0.886
21,0.126398,0.750627,0.8083,7.859,165.247,0.835,0.871,0.692,0.655,0.769,0.708,0.894,0.862,0.92,0.877
22,0.127758,0.830568,0.7992,7.97,173.217,0.82,0.915,0.732,0.542,0.801,0.792,0.894,0.814,0.912,0.77
23,0.11902,0.799414,0.8018,7.53,180.747,0.838,0.936,0.723,0.752,0.728,0.699,0.836,0.838,0.88,0.788
24,0.115609,0.787499,0.807,7.409,188.155,0.85,0.914,0.709,0.623,0.711,0.805,0.911,0.835,0.891,0.821
25,0.105837,0.799386,0.8044,7.421,195.577,0.848,0.861,0.65,0.68,0.754,0.733,0.887,0.856,0.866,0.909
26,0.100861,0.818311,0.8077,7.548,203.125,0.881,0.909,0.724,0.694,0.747,0.728,0.851,0.818,0.887,0.838
27,0.101282,0.793633,0.8074,7.91,211.035,0.799,0.902,0.717,0.609,0.774,0.779,0.876,0.846,0.886,0.886
28,0.086849,0.896686,0.7991,7.94,218.975,0.837,0.924,0.71,0.587,0.734,0.78,0.884,0.862,0.848,0.825
29,0.09001,0.841651,0.8084,7.814,226.789,0.857,0.876,0.713,0.566,0.795,0.766,0.837,0.884,0.905,0.885
30,0.083992,0.830622,0.8067,8.08,234.869,0.855,0.884,0.698,0.641,0.779,0.738,0.851,0.845,0.898,0.878
31,0.077782,0.869173,0.8128,8.14,243.009,0.85,0.916,0.669,0.687,0.826,0.738,0.877,0.837,0.861,0.867
32,0.077497,0.861227,0.8124,8.072,251.081,0.857,0.918,0.736,0.639,0.801,0.74,0.861,0.815,0.881,0.876
33,0.073166,0.895603,0.807,7.963,259.044,0.844,0.884,0.625,0.697,0.81,0.716,0.868,0.824,0.901,0.901
34,0.06747,0.880471,0.8092,8.007,267.051,0.846,0.928,0.685,0.577,0.778,0.814,0.868,0.858,0.88,0.858
35,0.067952,0.904262,0.8089,8.008,275.06,0.805,0.867,0.702,0.712,0.755,0.736,0.833,0.883,0.892,0.904
36,0.063916,0.891905,0.8174,7.906,282.966,0.876,0.903,0.724,0.667,0.775,0.735,0.879,0.847,0.907,0.861
37,0.070871,0.856559,0.8134,7.405,290.371,0.86,0.913,0.71,0.645,0.788,0.773,0.857,0.83,0.884,0.874
38,0.061527,0.897569,0.8167,7.448,297.819,0.862,0.911,0.719,0.666,0.801,0.697,0.882,0.855,0.894,0.88
39,0.063326,0.900838,0.8103,7.442,305.261,0.821,0.912,0.728,0.64,0.794,0.717,0.88,0.857,0.872,0.882
40,0.063039,0.896457,0.8177,7.798,313.059,0.874,0.92,0.716,0.676,0.766,0.753,0.877,0.843,0.89,0.862
41,0.057446,0.913577,0.8153,7.997,321.056,0.863,0.918,0.738,0.606,0.822,0.751,0.879,0.842,0.869,0.865
42,0.056348,0.935802,0.8111,7.948,329.004,0.839,0.916,0.74,0.655,0.748,0.75,0.859,0.845,0.905,0.854
43,0.053639,0.9462,0.8119,7.935,336.938,0.813,0.876,0.717,0.687,0.763,0.742,0.881,0.852,0.872,0.916
44,0.054868,0.947521,0.8129,7.885,344.824,0.851,0.892,0.714,0.633,0.812,0.746,0.872,0.835,0.901,0.873
45,0.054031,0.949978,0.8147,7.809,352.633,0.847,0.911,0.745,0.682,0.791,0.667,0.867,0.852,0.891,0.894
46,0.051247,0.956271,0.813,7.823,360.456,0.853,0.903,0.78,0.563,0.78,0.779,0.886,0.852,0.893,0.841
47,0.05132,1.038116,0.8059,7.989,368.445,0.851,0.865,0.68,0.633,0.691,0.779,0.853,0.888,0.918,0.901
48,0.050399,0.962665,0.8172,8.004,376.449,0.836,0.932,0.738,0.656,0.771,0.742,0.896,0.854,0.892,0.855
49,0.04876,0.973938,0.8141,7.967,384.416,0.875,0.93,0.729,0.661,0.749,0.735,0.884,0.84,0.884,0.854
50,0.047831,0.980278,0.817,7.59,392.006,0.836,0.898,0.737,0.623,0.77,0.789,0.902,0.84,0.867,0.908
51,0.04406,0.993181,0.8149,7.371,399.377,0.824,0.917,0.707,0.624,0.804,0.762,0.889,0.824,0.905,0.893
52,0.048867,1.012415,0.8102,7.381,406.759,0.875,0.89,0.697,0.632,0.78,0.752,0.844,0.883,0.875,0.874
53,0.042729,1.016802,0.8081,7.418,414.176,0.811,0.911,0.713,0.674,0.781,0.742,0.865,0.845,0.865,0.874
54,0.043641,0.987852,0.8144,8.099,422.275,0.871,0.896,0.686,0.657,0.8,0.732,0.883,0.849,0.888,0.882
55,0.044484,1.006986,0.8133,8.13,430.405,0.862,0.913,0.731,0.647,0.781,0.728,0.838,0.874,0.887,0.872
56,0.040555,1.011344,0.8075,8.234,438.64,0.846,0.903,0.656,0.676,0.782,0.754,0.882,0.819,0.901,0.856
57,0.040243,0.967615,0.8137,8.033,446.672,0.833,0.921,0.748,0.664,0.783,0.728,0.897,0.837,0.887,0.839
58,0.043246,1.041925,0.8135,7.976,454.648,0.86,0.931,0.69,0.657,0.817,0.728,0.888,0.851,0.869,0.844
59,0.037109,1.037761,0.8114,7.951,462.599,0.856,0.893,0.723,0.693,0.798,0.719,0.854,0.804,0.907,0.867
60,0.034398,1.015577,0.8157,7.987,470.586,0.87,0.884,0.723,0.712,0.792,0.741,0.855,0.811,0.884,0.885
