round_id,train_loss,test_loss,accuracy,epoch_time_sec,cumulative_time_sec,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
1,1.31935,1.018041,0.6402,7.379,7.379,0.61,0.768,0.448,0.688,0.575,0.321,0.745,0.72,0.726,0.801
2,0.939279,0.861135,0.6988,7.896,15.275,0.582,0.788,0.707,0.634,0.711,0.497,0.818,0.632,0.777,0.842
3,0.765736,0.748541,0.7418,8.144,23.418,0.633,0.815,0.611,0.603,0.719,0.586,0.839,0.786,0.912,0.914
4,0.658276,0.707464,0.7567,8.056,31.475,0.814,0.822,0.686,0.519,0.712,0.636,0.871,0.765,0.887,0.855
5,0.577668,0.669242,0.7668,8.079,39.553,0.828,0.901,0.795,0.583,0.711,0.696,0.761,0.807,0.822,0.764
6,0.515857,0.635082,0.7795,7.923,47.476,0.85,0.91,0.73,0.465,0.759,0.728,0.903,0.807,0.803,0.84
7,0.45898,0.651607,0.7787,7.865,55.342,0.77,0.856,0.669,0.642,0.764,0.756,0.737,0.842,0.844,0.907
8,0.409419,0.612777,0.794,7.92,63.262,0.797,0.899,0.651,0.615,0.741,0.767,0.869,0.817,0.911,0.873
9,0.370169,0.610975,0.7985,7.811,71.073,0.823,0.88,0.685,0.621,0.81,0.692,0.902,0.817,0.86,0.895
10,0.331125,0.626961,0.7969,7.412,78.486,0.847,0.856,0.761,0.662,0.796,0.64,0.806,0.831,0.889,0.881
11,0.303283,0.641813,0.7945,7.43,85.915,0.884,0.927,0.706,0.542,0.811,0.738,0.823,0.784,0.874,0.856
12,0.270502,0.675956,0.7951,7.406,93.322,0.851,0.82,0.749,0.57,0.869,0.631,0.885,0.827,0.853,0.896
13,0.250978,0.676233,0.7988,7.853,101.175,0.853,0.931,0.701,0.64,0.704,0.729,0.887,0.835,0.846,0.862
14,0.231554,0.692269,0.7949,8.04,109.215,0.789,0.891,0.664,0.639,0.743,0.809,0.828,0.818,0.915,0.853
15,0.209004,0.682735,0.8032,7.998,117.213,0.866,0.89,0.724,0.61,0.773,0.665,0.877,0.847,0.88,0.9
