round_id,accuracy,round_wallclock_sec,cumulative_sec
1,0.5941,7.533,8.652
2,0.7179,7.389,17.171
3,0.7567,7.267,25.51
4,0.7819,7.18,33.764
5,0.7915,7.224,42.04
6,0.8063,7.342,50.489
7,0.8091,7.367,58.997
8,0.8082,7.373,67.505
9,0.8119,7.423,76.023
10,0.8155,7.151,84.236
11,0.819,6.795,92.086
12,0.8146,6.765,99.899
13,0.8202,6.766,107.772
14,0.8168,6.76,115.672
15,0.8131,7.526,124.296
16,0.8182,7.349,132.793
17,0.8173,7.351,141.274
18,0.8148,7.41,149.764
19,0.8183,7.269,158.128
20,0.8185,7.299,166.491
21,0.8188,7.264,174.86
22,0.8163,7.273,183.215
23,0.8209,7.205,191.455
24,0.8182,7.308,199.876
25,0.8206,6.93,207.807
26,0.8196,6.551,215.434
27,0.8207,6.591,223.038
28,0.8164,6.534,230.577
29,0.8204,6.955,238.674
30,0.8183,7.345,247.007
