round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,model_bytes,client_0_train_loss,client_0_num_samples,client_0_download_ms,client_0_train_ms,client_1_train_loss,client_1_num_samples,client_1_download_ms,client_1_train_ms
1,0,skipped,,,,,,,,,,,,,,,30.0,,,,,,,,,
2,2,ok,0.6233,1.222786,0.746,0.588,0.418,0.521,0.584,0.537,0.801,0.516,0.717,0.805,4.31,1661.24,13.54,2492491,1.145329,25000,11.63,8522.95,1.122492,25000,33.25,8406.85
3,2,ok,0.7293,0.788363,0.677,0.86,0.604,0.488,0.573,0.743,0.864,0.764,0.89,0.83,1.21,1552.94,10.98,2492491,0.865203,25000,12.86,8159.79,0.857865,25000,28.9,8199.63
4,2,ok,0.7638,0.691945,0.741,0.9,0.657,0.59,0.778,0.579,0.846,0.84,0.898,0.809,1.21,1534.53,11.62,2492491,0.68704,25000,14.88,8606.46,0.677617,25000,12.6,8446.83
5,2,ok,0.7742,0.649122,0.754,0.819,0.616,0.616,0.81,0.589,0.89,0.829,0.944,0.875,1.05,1536.93,11.44,2492491,0.566688,25000,12.42,8408.63,0.55376,25000,11.8,8544.34
6,2,ok,0.7941,0.602671,0.768,0.89,0.611,0.658,0.8,0.725,0.89,0.843,0.855,0.901,5.32,1516.78,11.45,2492491,0.480754,25000,22.53,8415.05,0.472075,25000,12.52,8303.52
7,2,ok,0.8054,0.586802,0.829,0.885,0.699,0.591,0.829,0.699,0.902,0.847,0.903,0.87,1.5,1519.62,11.25,2492491,0.404976,25000,10.43,8208.06,0.398386,25000,12.52,8339.34
8,2,ok,0.8098,0.574987,0.842,0.932,0.691,0.668,0.776,0.705,0.881,0.845,0.909,0.849,1.12,1529.39,11.61,2492491,0.340638,25000,28.18,8600.57,0.341309,25000,11.43,8406.36
9,2,ok,0.8121,0.587445,0.816,0.884,0.745,0.64,0.821,0.713,0.889,0.832,0.917,0.864,1.28,1530.04,11.29,2492491,0.290544,25000,11.26,8202.74,0.295932,25000,11.13,8328.69
10,2,ok,0.8108,0.600582,0.846,0.895,0.754,0.642,0.762,0.738,0.86,0.851,0.887,0.873,1.27,1527.95,11.37,2492491,0.253762,25000,12.51,8371.07,0.250781,25000,11.63,8263.64
11,2,ok,0.8056,0.636331,0.794,0.889,0.692,0.622,0.776,0.759,0.851,0.861,0.9,0.912,1.26,1530.64,11.14,2492491,0.213933,25000,34.02,8048.04,0.212401,25000,9.86,8206.38
