round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,model_bytes,client_0_train_loss,client_0_num_samples,client_0_download_ms,client_0_train_ms,client_1_train_loss,client_1_num_samples,client_1_download_ms,client_1_train_ms
12,2,ok,0.8116,0.629725,0.842,0.926,0.725,0.709,0.81,0.699,0.824,0.853,0.862,0.866,1.15,1519.61,11.28,2492491,0.19573,25000,24.29,8264.45,0.194937,25000,9.94,8137.96
13,2,ok,0.813,0.664465,0.857,0.895,0.742,0.694,0.777,0.645,0.869,0.857,0.93,0.864,1.24,1530.34,11.18,2492491,0.178123,25000,11.01,8118.83,0.174667,25000,10.85,8263.8
14,2,ok,0.8148,0.671911,0.829,0.912,0.73,0.696,0.787,0.673,0.888,0.852,0.871,0.91,1.26,1508.18,11.17,2492491,0.156936,25000,10.58,8193.38,0.151239,25000,20.79,8022.93
15,2,ok,0.8154,0.667773,0.84,0.905,0.733,0.669,0.791,0.728,0.85,0.883,0.872,0.883,1.11,1543.06,11.29,2492491,0.14377,25000,11.6,8180.42,0.138916,25000,11.77,8282.29
16,2,ok,0.8142,0.718169,0.812,0.895,0.738,0.566,0.819,0.744,0.892,0.876,0.894,0.906,1.1,1533.28,11.3,2492491,0.130527,25000,11.64,8308.17,0.128268,25000,13.18,8222.92
17,2,ok,0.8154,0.72277,0.854,0.887,0.698,0.635,0.838,0.741,0.836,0.86,0.889,0.916,1.14,1529.13,11.49,2492491,0.112438,25000,12.11,8419.42,0.119009,25000,11.22,8536.53
18,2,ok,0.809,0.762353,0.845,0.899,0.65,0.636,0.813,0.799,0.857,0.839,0.878,0.874,1.44,1519.92,11.43,2492491,0.112418,25000,10.86,8432.86,0.108757,25000,11.35,8332.33
19,2,ok,0.8152,0.762159,0.837,0.939,0.746,0.646,0.796,0.706,0.885,0.863,0.895,0.839,1.12,1526.54,11.4,2492491,0.095898,25000,11.63,8312.56,0.099861,25000,12.41,8461.61
20,2,ok,0.8143,0.771508,0.832,0.905,0.769,0.619,0.812,0.696,0.884,0.839,0.914,0.873,1.2,1525.38,11.44,2492491,0.086153,25000,11.8,8464.86,0.094185,25000,21.15,8299.09
21,2,ok,0.8141,0.789254,0.859,0.896,0.674,0.65,0.816,0.712,0.861,0.882,0.884,0.907,1.19,1519.78,11.42,2492491,0.094035,25000,10.05,8345.81,0.094229,25000,11.12,8518.45
22,2,ok,0.8171,0.805992,0.871,0.883,0.737,0.644,0.787,0.739,0.86,0.862,0.917,0.871,1.18,1533.42,11.44,2492491,0.091136,25000,22.1,8391.41,0.079142,25000,11.86,8279.36
23,2,ok,0.8101,0.78134,0.858,0.893,0.71,0.596,0.805,0.72,0.887,0.867,0.889,0.876,1.2,1531.18,11.29,2492491,0.079334,25000,11.28,8254.75,0.081492,25000,11.12,8372.25
24,2,ok,0.8155,0.806994,0.85,0.907,0.752,0.598,0.815,0.734,0.882,0.831,0.92,0.866,1.14,1517.28,11.35,2492491,0.079221,25000,12.24,8399.78,0.074712,25000,12.51,8217.96
25,2,ok,0.814,0.81993,0.825,0.894,0.729,0.671,0.778,0.687,0.88,0.853,0.932,0.891,1.15,1523.78,11.57,2492491,0.075555,25000,10.9,8453.96,0.067061,25000,10.7,8566.55
26,2,ok,0.8149,0.837426,0.863,0.909,0.723,0.652,0.814,0.699,0.85,0.854,0.916,0.869,1.47,1511.75,11.13,2492491,0.065633,25000,11.54,8187.52,0.064769,25000,11.93,8070.83
27,2,ok,0.8183,0.863649,0.84,0.913,0.768,0.635,0.781,0.788,0.86,0.842,0.888,0.868,1.43,1543.25,11.27,2492491,0.065571,25000,11.5,8122.11,0.06107,25000,12.28,8281.73
28,2,ok,0.819,0.852716,0.845,0.912,0.743,0.64,0.835,0.737,0.86,0.854,0.897,0.867,1.11,1509.1,11.03,2492491,0.056641,25000,11.48,8073.26,0.059344,25000,10.57,7923.41
29,2,ok,0.812,0.855229,0.833,0.917,0.765,0.661,0.771,0.693,0.874,0.853,0.894,0.859,1.17,1544.5,11.26,2492491,0.056752,25000,22.71,8142.91,0.066375,25000,11.9,8225.99
30,2,ok,0.8159,0.860179,0.859,0.889,0.728,0.651,0.796,0.728,0.877,0.852,0.898,0.881,1.07,1545.36,11.23,2492491,0.059419,25000,11.63,8230.57,0.05177,25000,12.75,8153.95
